archetype_id,framing_system,num_stories,ie,design_drift,hazard_level,period,sa,sa_1,pga,sa_dbe,sa_dbe_geomean,sa_norm,sa_norm_geomean,p_redtag,p_col,p_residual,loss_ratio_mean,loss_ratio_fractile_90,loss_ratio_median,reoccupancy_prob_loss,reoccupancy_days_mean,reoccupancy_days_fractile_90,reoccupancy_days_median,function_prob_loss,function_days_mean,function_days_fractile_90,function_days_median,full_repair_days_mean,full_repair_days_fractile_90,full_repair_days_median,pRO_rep,pRO_str,pRO_nsd,pRO_nsa,pFR_rep,pFR_str,pFR_nsd,pFR_nsa,p_long_lead,p_inspection,p_financing,p_contractor_mob,p_eng_mob,p_design,p_permit_rapid,p_permit_full
F8-D100,C1a,8,1,0.01,475,1.301124339,0.348168609,0.419034108,0.489513393,0.461139633,0.354722795,0.755017753,0.981523079,0.0448,0,0,0.053453453,0.131369755,0.030958464,0.8766,109.1576974,203.5,111,0.9384,230.9131048,423.5,214,260,446,245,0,0.0448,0.8308,0.4394,0,0.142,0.8308,0.7916,0.805,0.0906,0.6212,0.9996,0.7558,0.7558,0.9996,0.7558
F8-D100,C1a,8,1,0.01,975,1.301124339,0.500957796,0.603135526,0.672095046,0.461139633,0.354722795,1.086347302,1.412251492,0.1984,0,0.0248,0.13673004,0.303731452,0.081233434,0.9594,182.9193392,310,170.9083333,0.99,299.3012519,498.5,287.3,319,508,306,0.0248,0.1736,0.9208,0.5922,0.0248,0.3602,0.9208,0.865,0.885,0.2676,0.8204,0.9752,0.8746,0.8746,0.9752,0.8746
F8-D100,C1a,8,1,0.01,2475,1.301124339,0.754955135,0.909467399,0.949423793,0.461139633,0.354722795,1.637150834,2.128296084,0.4098,0,0.1164,0.282191964,1,0.183830393,0.9936,318.9491675,584,283.9,0.999,429.9853822,595,423.1666667,439,599,430,0.1164,0.2934,0.8716,0.6814,0.1164,0.5402,0.8716,0.845,0.8542,0.4376,0.848,0.8836,0.86,0.86,0.8836,0.86
F8-S150-D100,C1a,8,1.5,0.01,108,1.164546929,0.153420318,0.169274865,0.221743847,0.51522183,0.396324485,0.297775267,0.387107847,0.0002,0,0,0.00602406,0.017931221,0.001962744,0.3858,18.91992333,91,0,0.6564,140.2426433,339,125,181,375,156,0,0.0002,0.1936,0.2728,0,0.0006,0.1936,0.6088,0.604,0.0004,0.0784,0.9896,0.1588,0.1588,0.9896,0.1588
F8-S150-D100,C1a,8,1.5,0.01,475,1.164546929,0.380310237,0.419034108,0.489513393,0.51522183,0.396324485,0.738148531,0.95959309,0.0298,0,0,0.046350431,0.113718984,0.025951174,0.8532,101.2493651,196.5,104,0.9288,226.2602329,421,209.8333333,258,445,242,0,0.0298,0.8002,0.458,0,0.1154,0.8002,0.7986,0.8064,0.067,0.5702,0.9994,0.7198,0.7198,0.9994,0.7198
F8-S150-D100,C1a,8,1.5,0.01,975,1.164546929,0.547301342,0.603135526,0.672095046,0.51522183,0.396324485,1.062263495,1.380942544,0.1772,0,0.0146,0.125198281,0.283211613,0.079838944,0.9576,177.3908753,296.75,168.2029762,0.9896,299.5855245,487,289.4333333,320,500,308,0.0146,0.1626,0.9246,0.6436,0.0146,0.3548,0.9246,0.8904,0.9028,0.2684,0.827,0.9854,0.8802,0.8802,0.9854,0.8802
F8-S150-D100,C1a,8,1.5,0.01,2475,1.164546929,0.825035437,0.909467399,0.949423793,0.51522183,0.396324485,1.601320808,2.081717051,0.4194,0,0.1118,0.283029737,1,0.189138164,0.992,319.5341588,584,286.2666667,0.9998,435.9942324,600,428,444,603,435,0.1118,0.3076,0.873,0.7136,0.1118,0.5468,0.873,0.8588,0.8658,0.449,0.8552,0.8882,0.8602,0.8602,0.8882,0.8602
F12-S125,C1a,12,1.25,0.02,108,1.748706797,0.097134915,0.169274865,0.221743847,0.343110692,0.263931302,0.28310081,0.368031053,0,0,0,0.005861216,0.016103637,0.002043985,0.3768,21.36501762,98.5,0,0.6358,139.1030433,351,114.5,194,400,172,0,0,0.2156,0.219,0,0,0.2156,0.5658,0.6216,0,0.0674,0.9926,0.1812,0.1812,0.9926,0.1812
F12-S125,C1a,12,1.25,0.02,475,1.748706797,0.242836193,0.419034108,0.489513393,0.343110692,0.263931302,0.707748836,0.920073487,0.0454,0,0.001,0.048291219,0.11319433,0.030922478,0.8876,111.3777717,204,113,0.9484,250.8454422,446.3333333,239,289,472,278,0.001,0.0444,0.843,0.4408,0.001,0.15,0.843,0.8084,0.8586,0.0906,0.627,0.9988,0.7726,0.7726,0.9988,0.7726
F12-S125,C1a,12,1.25,0.02,975,1.748706797,0.34908379,0.603135526,0.672095046,0.343110692,0.263931302,1.017408661,1.32263126,0.2642,0,0.063,0.164283804,0.298624075,0.088049983,0.9732,209.3459458,354,181.5,0.9934,337.4490913,568.5,321.6666667,363,583,348,0.063,0.2014,0.8986,0.5822,0.063,0.4018,0.8986,0.8376,0.8728,0.3094,0.8174,0.937,0.8718,0.8718,0.937,0.8718
F12-S125,C1a,12,1.25,0.02,2475,1.748706797,0.525292599,0.909467399,0.949423793,0.343110692,0.263931302,1.530971231,1.990262601,0.4476,0,0.189,0.312866221,1,0.171274255,0.9964,347.8378466,641,293.25,0.9994,476.079236,641,474,487,641,482,0.189,0.2588,0.7998,0.659,0.189,0.487,0.7998,0.7806,0.7996,0.386,0.782,0.811,0.7916,0.7916,0.811,0.7916
F12-S150,C1a,12,1.5,0.02,108,1.618175178,0.109711994,0.169274865,0.221743847,0.370788038,0.285221568,0.295888709,0.384655321,0,0,0,0.006410796,0.017199487,0.002434254,0.3946,21.88496981,98.5,0,0.6692,149.3180063,358.5,131,202,407,183,0,0,0.2146,0.2548,0,0.0014,0.2146,0.6106,0.6644,0,0.076,0.9946,0.183,0.183,0.9946,0.183
F12-S150,C1a,12,1.5,0.02,475,1.618175178,0.273555026,0.419034108,0.489513393,0.370788038,0.285221568,0.737766589,0.959096566,0.027,0,0,0.044726626,0.103480622,0.029408297,0.8976,107.1970614,196,109.5,0.9516,259.0312494,453,247,295,478,285,0,0.027,0.8484,0.5174,0,0.1064,0.8488,0.844,0.8794,0.0628,0.6252,0.9998,0.7738,0.7738,0.9998,0.7738
F12-S150,C1a,12,1.5,0.02,975,1.618175178,0.393375874,0.603135526,0.672095046,0.370788038,0.285221568,1.060918459,1.379193997,0.2062,0,0.0214,0.124997714,0.264530907,0.077468076,0.9712,186.1180318,308.6125,170.7345238,0.9904,326.4134336,521,317.3333333,351,537,340,0.0214,0.185,0.9354,0.659,0.0214,0.3772,0.9354,0.8904,0.9192,0.2846,0.8376,0.9786,0.9042,0.9042,0.9786,0.9042
F12-S150,C1a,12,1.5,0.02,2475,1.618175178,0.592270699,0.909467399,0.949423793,0.370788038,0.285221568,1.597329573,2.076528445,0.3592,0,0.1164,0.245145727,1,0.138469788,0.989,312.9600066,641,269,0.9982,458.3763938,641,450,471,641,461,0.1164,0.2432,0.8602,0.7262,0.1164,0.4644,0.8602,0.8532,0.8676,0.3676,0.8356,0.8836,0.845,0.845,0.8836,0.845
F12-D150,C1a,12,1,0.015,108,1.833019675,0.089011138,0.169274865,0.221743847,0.327328729,0.25179133,0.271931946,0.35351153,0,0,0,0.006780019,0.018295183,0.002312246,0.4114,28.4361881,115,0,0.6338,139.7590357,355,111,193,405,169,0,0,0.288,0.216,0,0.0012,0.288,0.5566,0.6182,0.0002,0.0884,0.9882,0.2384,0.2384,0.9882,0.2384
F12-D150,C1a,12,1,0.015,475,1.833019675,0.222994309,0.419034108,0.489513393,0.327328729,0.25179133,0.681254928,0.885631406,0.0382,0,0,0.049499676,0.114005299,0.033845382,0.9216,117.9942639,205.2458333,119.4125,0.9594,250.147117,447,233.8583333,287,471,274,0,0.0382,0.892,0.431,0,0.1456,0.892,0.7892,0.8464,0.0826,0.6612,1,0.8236,0.8236,1,0.8236
